id,name,activity_name,total,start_duration,end_duration,start_registration,end_registration,credits_count,activity_type,location,location_kotakab_code,mitra_id,certified,logo,mitra_name,Kab/Kot,Provinsi,Tipe Lokasi,Lokasi,Nama_Provinsi,durasi_magang
b997104f-6546-11ed-8642-0ec0e2c26b07,Intern Assessor,Lets Grow with Erajaya,1,2023-02-16,2023-06-16,2022-12-23,2023-01-31,20,OFFLINE,Kota Jakarta Barat,16200.0,a748af00-6fc5-44c8-a820-fda83886973c,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b68b978-babc-4555-b29d-ac9ca4fe7af5.png,Erajaya,Kota Jakarta Barat,DKI Jakarta,Kota,JakartaBarat,JakartaRaya,120.0
efbbaa63-8074-11ed-bcd8-aa76604f701e,International Banking,Sharia Banking Project,5,2023-02-16,2023-06-30,2022-12-20,2023-01-31,20,OFFLINE,Kota Jakarta Pusat & 10 Kantor Region Office BSI,,22d8f215-4ba0-4596-9fc8-4e2a2107101e,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_64befc04-9085-48bb-8480-c94c6a36a9b4.jpg,Bank Syariah Indonesia atau BSI,> 1 Kot/Kab,> 1 Provinsi,Kot/Kab,> 1 Kot/Kab,>1Provinsi,134.0
a3d50c7d-6bfb-11ed-9b00-0278cb7f6574,International Business Researcher Intern,Distribution (PARAMA),2,2023-02-10,2023-06-30,2022-12-01,2023-01-31,20,OFFLINE,"Kota Yogyakarta, Kota Tegal, Kota Tangerang, Kota Jakarta Selatan",,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png,Paragon Technology and Innovation,> 1 Kot/Kab,> 1 Provinsi,Kot/Kab,> 1 Kot/Kab,>1Provinsi,140.0
f1d28842-6548-11ed-8642-0ec0e2c26b07,Intern Creative Design ,Lets Grow with Erajaya,1,2023-02-16,2023-06-16,2022-12-23,2023-01-31,20,OFFLINE,Kota Jakarta Barat,16200.0,a748af00-6fc5-44c8-a820-fda83886973c,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b68b978-babc-4555-b29d-ac9ca4fe7af5.png,Erajaya,Kota Jakarta Barat,DKI Jakarta,Kota,JakartaBarat,JakartaRaya,120.0
8739d3a1-647e-11ed-b5cc-0a223dcf0f66,Intern HC Business Partner,Lets Grow with Erajaya,3,2023-02-16,2023-06-16,2022-12-23,2023-01-31,20,OFFLINE,Kota Jakarta Barat,16200.0,a748af00-6fc5-44c8-a820-fda83886973c,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b68b978-babc-4555-b29d-ac9ca4fe7af5.png,Erajaya,Kota Jakarta Barat,DKI Jakarta,Kota,JakartaBarat,JakartaRaya,120.0
0b9538f3-647f-11ed-b5cc-0a223dcf0f66,Intern HC Database,Lets Grow with Erajaya,2,2023-02-16,2023-06-16,2022-12-23,2023-01-31,20,OFFLINE,Kota Jakarta Barat,16200.0,a748af00-6fc5-44c8-a820-fda83886973c,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b68b978-babc-4555-b29d-ac9ca4fe7af5.png,Erajaya,Kota Jakarta Barat,DKI Jakarta,Kota,JakartaBarat,JakartaRaya,120.0
77fcda73-6548-11ed-8642-0ec0e2c26b07,Intern HC Database (ATS Project) ,Lets Grow with Erajaya,1,2023-02-16,2023-06-16,2022-12-23,2023-01-31,20,OFFLINE,Kota Jakarta Barat,16200.0,a748af00-6fc5-44c8-a820-fda83886973c,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b68b978-babc-4555-b29d-ac9ca4fe7af5.png,Erajaya,Kota Jakarta Barat,DKI Jakarta,Kota,JakartaBarat,JakartaRaya,120.0
55906a3a-68b7-11ed-ba6b-9afb6f59ce88,Intern Support Staff,Lets Grow with Erajaya,13,2023-02-16,2023-06-16,2022-12-23,2023-01-31,20,OFFLINE,Kota Jakarta Barat,16200.0,a748af00-6fc5-44c8-a820-fda83886973c,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b68b978-babc-4555-b29d-ac9ca4fe7af5.png,Erajaya,Kota Jakarta Barat,DKI Jakarta,Kota,JakartaBarat,JakartaRaya,120.0
1d7e5b5d-6547-11ed-8642-0ec0e2c26b07,Intern Talent Management,Lets Grow with Erajaya,1,2023-02-16,2023-06-16,2022-12-23,2023-01-31,20,OFFLINE,Kota Jakarta Barat,16200.0,a748af00-6fc5-44c8-a820-fda83886973c,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b68b978-babc-4555-b29d-ac9ca4fe7af5.png,Erajaya,Kota Jakarta Barat,DKI Jakarta,Kota,JakartaBarat,JakartaRaya,120.0
77fecff1-6547-11ed-8642-0ec0e2c26b07,Intern Talent Sourcing,Lets Grow with Erajaya,3,2023-02-16,2023-06-16,2022-12-23,2023-01-31,20,OFFLINE,Kota Jakarta Barat,16200.0,a748af00-6fc5-44c8-a820-fda83886973c,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_4b68b978-babc-4555-b29d-ac9ca4fe7af5.png,Erajaya,Kota Jakarta Barat,DKI Jakarta,Kota,JakartaBarat,JakartaRaya,120.0
2b68758b-6b88-11ed-8147-a2c3ec1c6e84,"Investigation, Litigation, and Compliance Staff Intern","Finance, Accounting, Tax and Legal Directorate",1,2023-02-10,2023-06-30,2022-12-01,2023-01-31,20,OFFLINE,Kota Jakarta Selatan,16300.0,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png,Paragon Technology and Innovation,Kota Jakarta Selatan,DKI Jakarta,Kota,JakartaSelatan,JakartaRaya,140.0
0dc97c3b-59ba-11ed-b25c-7e07a5322787,iOS Developer,Kampus Gratis Apps - Platform Kuliah Gratis S1 & D1 bagi Kaum Marjinal di Indonesia,2,2023-02-16,2023-06-30,2023-01-13,2023-02-06,20,OFFLINE,Kota Jakarta Selatan,16300.0,e11d086f-a5f6-4a48-b9de-0cab5d5f5960,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_942d9672-8cf9-4b06-ac86-ab4aa197d01f.png,M-Knows Consulting,Kota Jakarta Selatan,DKI Jakarta,Kota,JakartaSelatan,JakartaRaya,134.0
