id,name,activity_name,total,start_duration,end_duration,start_registration,end_registration,credits_count,activity_type,location,location_kotakab_code,mitra_id,certified,logo,mitra_name
717307ce-7606-11ed-8c3c-3eca353efbd3,Housekeeping Training,Magang Bersertifikat Pariwisata Perhotelan,5,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-20T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,OFFLINE,Kab. Badung,220400,87c66d10-4380-4c12-895c-61bcb10e0067,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b555ebbc-732f-418e-840e-4dbc8808865e.png,The Royal Santrian Luxury Beach Villas
5abd3509-809d-11ed-bf55-e28bf6b6d14d,HR,"Kompas Gramedia - Dyandra: MICE (Meetings, Incentives, Conferences, Exhibitions) ",2,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-26T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,OFFLINE,Kota Jakarta Pusat,016000,c8bece01-8738-4a37-90f9-3d0302da1cd7,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia
0c114105-760e-11ed-9884-aab4c2c7d0e5,HR Admin,Magang Bersertifikat Pariwisata Perhotelan,2,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-20T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,OFFLINE,Kab. Badung,220400,87c66d10-4380-4c12-895c-61bcb10e0067,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b555ebbc-732f-418e-840e-4dbc8808865e.png,The Royal Santrian Luxury Beach Villas
7ed42732-6caa-11ed-8441-22d0c8df9d48,HR Administrator,ARCHIVE MANAGEMENT OF EMPLOYMENT,2,2023-02-10T07:00:00+07:00,2023-07-01T07:00:00+07:00,2022-12-22T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,OFFLINE,Kota Tangerang,286100,0948c9f3-2059-465a-b344-f12f1a66077d,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_2c238d7b-1e65-4e87-9fc1-68573e234f74.jpg,Alfamidi
8b58c43c-7ea0-11ed-b756-c6fe83fcca68,HR Analyst ,21 : HR Business Process Improvement,1,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-17T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,OFFLINE,Kab. Berau,160300,ec0dd4db-c8de-4171-8079-46070738ce4a,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_2ff77b56-98de-4831-a033-f819bb3d605c.jpg,Berau Coal
a69cc50b-8049-11ed-82a8-2615bc75a6a3,HRBP Intern,Program Magang Lazada Logistics Indonesia [Cimanggis],3,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-21T07:00:00+07:00,2023-02-16T07:00:00+07:00,20,OFFLINE,Kota Depok,026600,aed64ced-1c3e-40f4-8c92-3fae1469cbc4,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg,Lazada
918fec17-80df-11ed-bf55-e28bf6b6d14d,HRBP Intern,Program Magang Lazada Indonesia Non Commercial [Jakarta],1,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-21T07:00:00+07:00,2023-02-16T07:00:00+07:00,20,OFFLINE,Kota Jakarta Selatan,016300,aed64ced-1c3e-40f4-8c92-3fae1469cbc4,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_53a72f64-8e58-40c0-810d-1828e1b0aab1.jpg,Lazada
2a307985-6b3b-11ed-8147-a2c3ec1c6e84,HRBP SCM & RND Intern,Human Resources Corporate Affairs Directorate,1,2023-02-10T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-01T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,OFFLINE,Jakarta Selatan,,bcdcdee1-cef2-4ed7-b469-12a6ab2740fa,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_d3457239-e70d-40d2-b628-218c94072cb0.png,Paragon Technology and Innovation
d3d50d1c-8145-11ed-8834-ae9e72da6bb1,HRDPR - UX Researcher,Kompas Gramedia - Growth Center: Services Enhancement To Help People Be Their Best Version,4,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2022-12-26T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,OFFLINE,Kota Jakarta Pusat,016000,c8bece01-8738-4a37-90f9-3d0302da1cd7,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_df1a48c4-c272-4def-9ca5-0f905ac03742.png,Kompas Gramedia
2acc5fa6-8fd5-11ed-927c-7ef1c7c7ef0c,HR Enterprise Officer,23. Sustainability Economic Program & Community Entrepreneurship,1,2023-02-16T07:00:00+07:00,2023-06-30T07:00:00+07:00,2023-01-09T07:00:00+07:00,2023-01-31T07:00:00+07:00,20,OFFLINE,Kab. Berau,160300,ec0dd4db-c8de-4171-8079-46070738ce4a,True,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_2ff77b56-98de-4831-a033-f819bb3d605c.jpg,Berau Coal
